time,threads
0.0188336,1
0.00937419,2
0.00622273,3
0.00679775,4
0.0187081,1
0.00936675,2
0.00627591,3
0.00465647,4
0.0186929,1
0.0093337,2
0.00628347,3
0.00466163,4
0.0188628,1
0.00932229,2
0.00624338,3
0.00468225,4
0.0186004,1
0.00940892,2
0.00623924,3
0.00473133,4
0.0187054,1
0.00937791,2
0.00621151,3
0.00474523,4
0.0187362,1
0.0093745,2
0.00626822,3
0.00469519,4
0.0187268,1
0.00932303,2
0.00622309,3
0.0048328,4
0.0187048,1
0.00938949,2
0.00625018,3
0.00466089,4
0.0186853,1
0.00928313,2
0.00623683,3
0.00466318,4
0.0187517,1
0.00931098,2
0.00617424,3
0.0105617,4
0.0189122,1
0.00950696,2
0.00630705,3
0.0046763,4
0.018891,1
0.00927208,2
0.00624343,3
0.00483338,4
0.0187031,1
0.00932275,2
0.00618929,3
0.00464601,4
0.018686,1
0.00934842,2
0.00620773,3
0.00464832,4
0.0186666,1
0.0093904,2
0.00626755,3
0.00464912,4
0.0187389,1
0.00935521,2
0.00682768,3
0.00473449,4
0.0187036,1
0.00936933,2
0.00627656,3
0.00483946,4
0.0187001,1
0.00934615,2
0.0062381,3
0.00463574,4
0.0187232,1
0.00937974,2
0.00623302,3
0.00475651,4
0.0188127,1
0.0093435,2
0.00619069,3
0.00464419,4
0.0186971,1
0.00932988,2
0.00626186,3
0.00472867,4
0.0187091,1
0.00958267,2
0.00622666,3
0.00465225,4
0.0187057,1
0.00934191,2
0.00621238,3
0.00468762,4
0.0189746,1
0.00933538,2
0.00635978,3
0.00469012,4
0.0187279,1
0.00938844,2
0.00623438,3
0.00466398,4
0.0188024,1
0.00935845,2
0.00623314,3
0.00467862,4
0.0188336,1
0.00933676,2
0.00622352,3
0.00467344,4
0.0188537,1
0.00935474,2
0.00624881,3
0.00466735,4
0.0187139,1
0.00938466,2
0.00622513,3
0.00462941,4
0.0186866,1
0.00937484,2
0.00621613,3
0.00469849,4
0.0187535,1
0.00939786,2
0.00622222,3
0.0046657,4
0.0187094,1
0.00930621,2
0.00622857,3
0.00470807,4
0.0187119,1
0.00937284,2
0.00623591,3
0.00488079,4
0.0186766,1
0.00945969,2
0.00626007,3
0.00467696,4
0.0188876,1
0.00933362,2
0.00626829,3
0.00468522,4
0.0186889,1
0.00931564,2
0.00623094,3
0.00467251,4
0.0186858,1
0.00932575,2
0.00620037,3
0.00466062,4
0.0187461,1
0.00935088,2
0.00620534,3
0.00479937,4
0.0187693,1
0.00941451,2
0.00623911,3
0.00475718,4
0.0186973,1
0.00946987,2
0.00625738,3
0.00468143,4
0.0187851,1
0.00934968,2
0.00623929,3
0.00469048,4
0.0187721,1
0.00933275,2
0.00627364,3
0.00486994,4
0.0190465,1
0.00952288,2
0.00635546,3
0.00482006,4
0.0188386,1
0.0093494,2
0.00621453,3
0.0138781,4
0.0188751,1
0.00934338,2
0.00621497,3
0.00481244,4
0.018681,1
0.0093282,2
0.00622793,3
0.00464681,4
0.0187112,1
0.00935049,2
0.00620969,3
0.00468937,4
0.0186677,1
0.00938107,2
0.00621792,3
0.00477154,4
0.0187267,1
0.00945911,2
0.00637117,3
0.0172403,4
0.0187802,1
0.0093779,2
0.00626014,3
0.00470564,4
0.0187264,1
0.00958239,2
0.0154571,3
0.00468772,4
0.0188297,1
0.00956825,2
0.0167005,3
0.00473433,4
0.0187933,1
0.00959938,2
0.00644692,3
0.0047062,4
0.0188,1
0.00954246,2
0.00640916,3
0.00472339,4
0.0188135,1
0.00967371,2
0.00641375,3
0.00468171,4
0.0187877,1
0.00959584,2
0.00638272,3
0.00466344,4
0.0191475,1
0.00955536,2
0.00699494,3
0.00469279,4
0.0191127,1
0.00955785,2
0.00622451,3
0.0047125,4
0.0191013,1
0.009405,2
0.00622907,3
0.0153386,4
0.0190092,1
0.00938483,2
0.00698911,3
0.0134058,4
0.0187839,1
0.00927531,2
0.00616985,3
0.00464415,4
0.0186896,1
0.00932559,2
0.00622756,3
0.00477242,4
0.0187108,1
0.00931473,2
0.00619043,3
0.00465952,4
0.0186603,1
0.00938448,2
0.00620907,3
0.00472631,4
0.0186629,1
0.00937797,2
0.00625384,3
0.00466278,4
0.0187552,1
0.0093185,2
0.00621675,3
0.0052132,4
0.0187813,1
0.00936931,2
0.00637486,3
0.00466926,4
0.0187399,1
0.00933504,2
0.00624806,3
0.00481302,4
0.0187163,1
0.00935285,2
0.00621824,3
0.00470363,4
0.0187653,1
0.00935753,2
0.00631809,3
0.00493914,4
0.0187757,1
0.00938589,2
0.00623529,3
0.00469639,4
0.0186969,1
0.00941228,2
0.00620027,3
0.00484587,4
0.0187377,1
0.00957596,2
0.00641872,3
0.00470935,4
0.0190605,1
0.00935804,2
0.00622603,3
0.00504181,4
0.0187941,1
0.0093627,2
0.0062222,3
0.00470484,4
0.018793,1
0.00931397,2
0.0062317,3
0.00464734,4
0.0188572,1
0.00934269,2
0.00623318,3
0.00466546,4
0.0189797,1
0.00938084,2
0.00622861,3
0.00479692,4
0.0187632,1
0.00937391,2
0.00687281,3
0.00468548,4
0.0186695,1
0.009324,2
0.00627466,3
0.00474282,4
0.0187579,1
0.0094013,2
0.00622176,3
0.00466511,4
0.0188025,1
0.00939303,2
0.006187,3
0.00467158,4
0.0189494,1
0.0093576,2
0.00621037,3
0.00468388,4
0.018855,1
0.00941213,2
0.00626284,3
0.00510614,4
0.0187142,1
0.00936176,2
0.00649619,3
0.00516059,4
0.0186791,1
0.00930462,2
0.00620987,3
0.00466895,4
0.018709,1
0.00937711,2
0.00623556,3
0.00467796,4
0.0188444,1
0.00941338,2
0.00621468,3
0.00494746,4
0.01867,1
0.00934028,2
0.00621715,3
0.00483007,4
0.0187795,1
0.00944488,2
0.00628752,3
0.00472533,4
0.0188005,1
0.00944887,2
0.00626741,3
0.00471561,4
0.018784,1
0.0093857,2
0.00650699,3
0.0056088,4
0.0188233,1
0.00935975,2
0.00629746,3
0.00469876,4
0.0188252,1
0.00944772,2
0.0062927,3
0.00515686,4
0.0188257,1
0.00937547,2
0.00624808,3
0.00481098,4
0.0187077,1
0.00936951,2
0.0061852,3
0.00471061,4
0.0186697,1
0.00947712,2
0.00627541,3
0.00535463,4
0.0187626,1
0.00952069,2
0.00637654,3
0.00470342,4
0.0186798,1
0.00942135,2
0.00623916,3
0.00471497,4
